,MONTH_NAME,MONTH,AIRLINE_x,DELAYS_COUNT,ON_TIME_COUNT,TOTAL_COUNT,IATA_CODE,AIRLINE_y
77,Jun,6,F9,3947,3867,7814,F9,Frontier Airlines Inc.
78,Jun,6,HA,2424,4239,6663,HA,Hawaiian Airlines Inc.
79,Jun,6,MQ,10151,13840,23991,MQ,American Eagle Airlines Inc.
80,Jun,6,NK,5981,3344,9325,NK,Spirit Air Lines
81,Jun,6,OO,20293,28765,49058,OO,Skywest Airlines Inc.
82,Jun,6,UA,22194,22551,44745,UA,United Air Lines Inc.
83,Jun,6,WN,49663,57713,107376,WN,Southwest Airlines Co.
84,Mar,3,AA,18683,25757,44440,AA,American Airlines Inc.
85,Mar,3,AS,4506,9690,14196,AS,Alaska Airlines Inc.
86,Mar,3,B6,9315,12712,22027,B6,JetBlue Airways
87,Mar,3,DL,24280,49227,73507,DL,Delta Air Lines Inc.
88,Mar,3,EV,21128,30747,51875,EV,Atlantic Southeast Airlines
89,Mar,3,F9,3854,3026,6880,F9,Frontier Airlines Inc.
90,Mar,3,HA,2959,3335,6294,HA,Hawaiian Airlines Inc.
91,Mar,3,MQ,12031,14031,26062,MQ,American Eagle Airlines Inc.
92,Mar,3,NK,4039,5215,9254,NK,Spirit Air Lines
93,Mar,3,OO,17748,31687,49435,OO,Skywest Airlines Inc.
94,Mar,3,UA,16434,26437,42871,UA,United Air Lines Inc.
95,Mar,3,WN,39855,66999,106854,WN,Southwest Airlines Co.
96,May,5,AA,15660,27951,43611,AA,American Airlines Inc.
97,May,5,AS,4779,9826,14605,AS,Alaska Airlines Inc.
98,May,5,B6,6158,16194,22352,B6,JetBlue Airways
99,May,5,DL,19588,54883,74471,DL,Delta Air Lines Inc.
100,May,5,EV,18194,29744,47938,EV,Atlantic Southeast Airlines
101,May,5,F9,3858,4217,8075,F9,Frontier Airlines Inc.
102,May,5,HA,2347,4071,6418,HA,Hawaiian Airlines Inc.
103,May,5,MQ,8690,15715,24405,MQ,American Eagle Airlines Inc.
104,May,5,NK,5475,4325,9800,NK,Spirit Air Lines
105,May,5,OO,18239,30889,49128,OO,Skywest Airlines Inc.
106,May,5,UA,17492,26372,43864,UA,United Air Lines Inc.
107,May,5,WN,41249,65081,106330,WN,Southwest Airlines Co.
108,Nov,11,AA,24024,49108,73132,AA,American Airlines Inc.
109,Nov,11,AS,4533,9338,13871,AS,Alaska Airlines Inc.
110,Nov,11,B6,7414,14128,21542,B6,JetBlue Airways
111,Nov,11,DL,18041,54097,72138,DL,Delta Air Lines Inc.
112,Nov,11,EV,14625,27019,41644,EV,Atlantic Southeast Airlines
113,Nov,11,F9,3669,4044,7713,F9,Frontier Airlines Inc.
114,Nov,11,HA,1569,4443,6012,HA,Hawaiian Airlines Inc.
115,Nov,11,MQ,5031,14300,19331,MQ,American Eagle Airlines Inc.
116,Nov,11,NK,4469,5581,10050,NK,Spirit Air Lines
117,Nov,11,OO,17205,29268,46473,OO,Skywest Airlines Inc.
118,Nov,11,UA,11656,30580,42236,UA,United Air Lines Inc.
119,Nov,11,WN,35338,67542,102880,WN,Southwest Airlines Co.
120,Oct,10,AA,22622,53759,76381,AA,American Airlines Inc.
121,Oct,10,AS,4502,9912,14414,AS,Alaska Airlines Inc.
122,Oct,10,B6,8149,13589,21738,B6,JetBlue Airways
123,Oct,10,DL,15841,59617,75458,DL,Delta Air Lines Inc.
124,Oct,10,EV,15307,29824,45131,EV,Atlantic Southeast Airlines
125,Oct,10,F9,2548,5537,8085,F9,Frontier Airlines Inc.
126,Oct,10,HA,2245,3981,6226,HA,Hawaiian Airlines Inc.
127,Oct,10,MQ,4738,16923,21661,MQ,American Eagle Airlines Inc.
128,Oct,10,NK,4253,5881,10134,NK,Spirit Air Lines
129,Oct,10,OO,16664,31822,48486,OO,Skywest Airlines Inc.
130,Oct,10,UA,11730,33946,45676,UA,United Air Lines Inc.
131,Oct,10,WN,30715,73338,104053,WN,Southwest Airlines Co.
132,Sep,9,AA,21026,51862,72888,AA,American Airlines Inc.
133,Sep,9,AS,4515,9717,14232,AS,Alaska Airlines Inc.
134,Sep,9,B6,7573,13434,21007,B6,JetBlue Airways
135,Sep,9,DL,16600,55350,71950,DL,Delta Air Lines Inc.
136,Sep,9,EV,13372,29995,43367,EV,Atlantic Southeast Airlines
137,Sep,9,F9,2266,5580,7846,F9,Frontier Airlines Inc.
138,Sep,9,HA,2669,3458,6127,HA,Hawaiian Airlines Inc.
139,Sep,9,MQ,5243,15556,20799,MQ,American Eagle Airlines Inc.
140,Sep,9,NK,4228,5640,9868,NK,Spirit Air Lines
141,Sep,9,OO,15145,32062,47207,OO,Skywest Airlines Inc.
142,Sep,9,UA,11196,30406,41602,UA,United Air Lines Inc.
143,Sep,9,WN,27805,72314,100119,WN,Southwest Airlines Co.
