IATA_CODE,DESTINATION_AIRPORT_CODE,AIRPORT
MRY,160,Monterey Regional Airport (Monterey Peninsula Airport)
AGS,161,Augusta Regional Airport (Bush Field)
FAY,162,Fayetteville Regional Airport
LRD,163,Laredo International Airport
AEX,164,Alexandria International Airport
AZO,165,Kalamazoo/Battle Creek International Airport
SBN,166,South Bend International Airport (South Bend Regional)
ACT,167,Waco Regional Airport
MLU,168,Monroe Regional Airport
MLB,169,Melbourne International Airport
DAB,170,Daytona Beach International Airport
BMI,171,Central Illinois Regional Airport at Bloomington-Normal
CRW,172,Yeager Airport
MHK,173,Manhattan Regional Airport
HLN,174,Helena Regional Airport
PSC,175,Tri-Cities Airport
RAP,176,Rapid City Regional Airport
CNY,177,Canyonlands Field
ATW,178,Appleton International Airport
TYR,179,Tyler Pounds Regional Airport
MKG,180,Muskegon County Airport
CAE,181,Columbia Metropolitan Airport
MDT,182,Harrisburg International Airport
DBQ,183,Dubuque Regional Airport
TXK,184,Texarkana Regional Airport (Webb Field)
ISP,185,Long Island MacArthur Airport
PWM,186,Portland International Jetport
BFL,187,Meadows Field
OME,188,Nome Airport
DIK,189,Dickinson Theodore Roosevelt Regional Airport
ECP,190,Northwest Florida Beaches International Airport
SIT,191,Sitka Rocky Gutierrez Airport
VLD,192,Valdosta Regional Airport
BQK,193,Brunswick Golden Isles Airport
CHO,194,Charlottesville-Albemarle Airport
CMI,195,University of Illinois - Willard Airport
LBB,196,Lubbock Preston Smith International Airport
ABI,197,Abilene Regional Airport
SJT,198,San Angelo Regional Airport (Mathis Field)
COU,199,Columbia Regional Airport
SPI,200,Abraham Lincoln Capital Airport
LWS,201,Lewiston-Nez Perce County Airport
MSO,202,Missoula International Airport
PSG,203,Petersburg James A. Johnson Airport
AVL,204,Asheville Regional Airport
RDM,205,Redmond Municipal Airport (Roberts Field)
INL,206,Falls International Airport
BJI,207,Bemidji Regional Airport
TOL,208,Toledo Express Airport
GCC,209,Gillette-Campbell County Airport
HIB,210,Range Regional Airport (Chisholm-Hibbing Airport)
IMT,211,Ford Airport
STC,212,St. Cloud Regional Airport
CDV,213,Merle K. (Mudhole) Smith Airport
AVP,214,Wilkes-Barre/Scranton International Airport
ESC,215,Delta County Airport
CIU,216,Chippewa County International Airport
SWF,217,Stewart International Airport
OTH,218,Southwest Oregon Regional Airport (North Bend Municipal)
STX,219,Henry E. Rohlsen Airport
GRI,220,Central Nebraska Regional Airport
GCK,221,Garden City Regional Airport
SMX,222,Santa Maria Public Airport (Capt G. Allan Hancock Field)
EWN,223,Coastal Carolina Regional Airport (Craven County Regional)
SPS,224,Wichita Falls Municipal Airport/Sheppard AFB
RDD,225,Redding Municipal Airport
UST,226,Northeast Florida Regional Airport (St. Augustine Airport)
GTR,227,Golden Triangle Regional Airport
LAN,228,Capital Region International Airport ( Lansing Capital City)
ERI,229,Erie International Airport
PAH,230,Barkley Regional Airport
BIS,231,Bismarck Municipal Airport
LBE,232,Arnold Palmer Regional Airport
BLI,233,Bellingham International Airport
DVL,234,Devils Lake Regional Airport
CWA,235,Central Wisconsin Airport
FAI,236,Fairbanks International Airport
ABE,237,Lehigh Valley International Airport
ALO,238,Waterloo Regional Airport
ABY,239,Southwest Georgia Regional Airport
CSG,240,Columbus Metropolitan Airport
TWF,241,Magic Valley Regional Airport (Joslin Field)
ELM,242,Elmira/Corning Regional Airport
PLN,243,Pellston Regional Airport of Emmet County
PIB,244,Hattiesburg-Laurel Regional Airport
SUX,245,Sioux Gateway Airport
ABR,246,Aberdeen Regional Airport
ORH,247,Worcester Regional Airport
SCE,248,University Park Airport
FCA,249,Glacier Park International Airport
MGM,250,Montgomery Regional Airport
WRG,251,Wrangell Airport
JLN,252,Joplin Regional Airport
ADQ,253,Kodiak Airport
BPT,254,Jack Brooks Regional Airport (Southeast Texas Regional)
GGG,255,East Texas Regional Airport
PPG,256,Pago Pago International Airport (Tafuna Airport)
YAK,257,Yakutat Airport
MQT,258,Sawyer International Airport
MYR,259,Myrtle Beach International Airport
SCC,260,Deadhorse Airport (Prudhoe Bay Airport)
KTN,261,Ketchikan International Airport
DLH,262,Duluth International Airport
FAT,263,Fresno Yosemite International Airport
MCO,264,Orlando International Airport
OAJ,265,Albert J. Ellis Airport
BRW,266,Wiley Post-Will Rogers Memorial Airport
BIL,267,Billings Logan International Airport
ROW,268,Roswell International Air Center
CMX,269,Houghton County Memorial Airport
BRO,270,Brownsville/South Padre Island International Airport
PIH,271,Pocatello Regional Airport
SRQ,272,Sarasota-Bradenton International Airport
GTF,273,Great Falls International Airport
EAU,274,Chippewa Valley Regional Airport
MAF,275,Midland International Airport
MOT,276,Minot International Airport
LCH,277,Lake Charles Regional Airport
ADK,278,Adak Airport
LAW,279,Lawton-Fort Sill Regional Airport
HOB,280,Lea County Regional Airport
GFK,281,Grand Forks International Airport
DHN,282,Dothan Regional Airport
CPR,283,Natrona County International Airport
COD,284,Yellowstone Regional Airport
BGM,285,Greater Binghamton Airport
BGR,286,Bangor International Airport
IAG,287,Niagara Falls International Airport
ITH,288,Ithaca Tompkins Regional Airport
PBG,289,Plattsburgh International Airport
ACK,290,Nantucket Memorial Airport
MVY,291,Martha's Vineyard Airport
DLG,292,Dillingham Airport
AKN,293,King Salmon Airport
GST,294,Gustavus Airport
HYA,295,Barnstable Municipal Airport
